table,gender,tobacco,issue_age,duration,q_sel
t3291,Male,Nonsmoker,35,12,0.00103
t3291,Male,Nonsmoker,35,13,0.00117
t3291,Male,Nonsmoker,35,14,0.00132
t3291,Male,Nonsmoker,35,15,0.00148
t3291,Male,Nonsmoker,35,16,0.00166
t3291,Male,Nonsmoker,35,17,0.00185
t3291,Male,Nonsmoker,35,18,0.00203
t3291,Male,Nonsmoker,35,19,0.00226
t3291,Male,Nonsmoker,35,20,0.00257
t3291,Male,Nonsmoker,35,21,0.00293
t3291,Male,Nonsmoker,35,22,0.00333
t3291,Male,Nonsmoker,35,23,0.0037200000000000002
t3291,Male,Nonsmoker,35,24,0.00406
t3291,Male,Nonsmoker,35,25,0.00437
t3291,Male,Nonsmoker,36,1,1.8e-4
t3291,Male,Nonsmoker,36,2,2.2e-4
t3291,Male,Nonsmoker,36,3,3.6e-4
t3291,Male,Nonsmoker,36,4,4.2e-4
t3291,Male,Nonsmoker,36,5,4.9e-4
t3291,Male,Nonsmoker,36,6,5.6e-4
t3291,Male,Nonsmoker,36,7,6.4e-4
t3291,Male,Nonsmoker,36,8,7.6e-4
t3291,Male,Nonsmoker,36,9,8.5e-4
t3291,Male,Nonsmoker,36,10,9.2e-4
t3291,Male,Nonsmoker,36,11,0.00101
t3291,Male,Nonsmoker,36,12,0.00112
t3291,Male,Nonsmoker,36,13,0.00127
t3291,Male,Nonsmoker,36,14,0.00143
t3291,Male,Nonsmoker,36,15,0.0016
t3291,Male,Nonsmoker,36,16,0.00178
t3291,Male,Nonsmoker,36,17,0.00197
t3291,Male,Nonsmoker,36,18,0.00218
t3291,Male,Nonsmoker,36,19,0.00246
t3291,Male,Nonsmoker,36,20,0.00281
t3291,Male,Nonsmoker,36,21,0.00322
t3291,Male,Nonsmoker,36,22,0.00364
t3291,Male,Nonsmoker,36,23,0.00403
t3291,Male,Nonsmoker,36,24,0.00437
t3291,Male,Nonsmoker,36,25,0.00474
t3291,Male,Nonsmoker,37,1,1.8e-4
t3291,Male,Nonsmoker,37,2,2.4e-4
t3291,Male,Nonsmoker,37,3,3.8e-4
t3291,Male,Nonsmoker,37,4,4.7e-4
t3291,Male,Nonsmoker,37,5,5.5e-4
t3291,Male,Nonsmoker,37,6,6e-4
t3291,Male,Nonsmoker,37,7,7.1e-4
t3291,Male,Nonsmoker,37,8,8.1e-4
t3291,Male,Nonsmoker,37,9,8.9e-4
t3291,Male,Nonsmoker,37,10,9.9e-4
t3291,Male,Nonsmoker,37,11,0.0011
t3291,Male,Nonsmoker,37,12,0.00123
t3291,Male,Nonsmoker,37,13,0.00138
t3291,Male,Nonsmoker,37,14,0.00155
t3291,Male,Nonsmoker,37,15,0.00172
t3291,Male,Nonsmoker,37,16,0.00191
t3291,Male,Nonsmoker,37,17,0.00212
t3291,Male,Nonsmoker,37,18,0.00237
t3291,Male,Nonsmoker,37,19,0.00269
t3291,Male,Nonsmoker,37,20,0.0031
t3291,Male,Nonsmoker,37,21,0.00355
t3291,Male,Nonsmoker,37,22,0.00398
t3291,Male,Nonsmoker,37,23,0.00436
t3291,Male,Nonsmoker,37,24,0.00474
t3291,Male,Nonsmoker,37,25,0.0052
t3291,Male,Nonsmoker,38,1,1.8e-4
t3291,Male,Nonsmoker,38,2,2.7e-4
t3291,Male,Nonsmoker,38,3,4.2e-4
t3291,Male,Nonsmoker,38,4,5e-4
t3291,Male,Nonsmoker,38,5,5.8e-4
t3291,Male,Nonsmoker,38,6,6.7e-4
t3291,Male,Nonsmoker,38,7,7.8e-4
t3291,Male,Nonsmoker,38,8,8.6e-4
t3291,Male,Nonsmoker,38,9,9.6e-4
t3291,Male,Nonsmoker,38,10,0.00108
t3291,Male,Nonsmoker,38,11,0.00121
t3291,Male,Nonsmoker,38,12,0.00135
t3291,Male,Nonsmoker,38,13,0.00151
t3291,Male,Nonsmoker,38,14,0.00168
t3291,Male,Nonsmoker,38,15,0.0018600000000000001
t3291,Male,Nonsmoker,38,16,0.00207
t3291,Male,Nonsmoker,38,17,0.00231
t3291,Male,Nonsmoker,38,18,0.0026
t3291,Male,Nonsmoker,38,19,0.00299
t3291,Male,Nonsmoker,38,20,0.00345
t3291,Male,Nonsmoker,38,21,0.00393
t3291,Male,Nonsmoker,38,22,0.00436
t3291,Male,Nonsmoker,38,23,0.00474
t3291,Male,Nonsmoker,38,24,0.0052
t3291,Male,Nonsmoker,38,25,0.00574
t3291,Male,Nonsmoker,39,1,1.8e-4
t3291,Male,Nonsmoker,39,2,3.1e-4
t3291,Male,Nonsmoker,39,3,4.6e-4
t3291,Male,Nonsmoker,39,4,5.5e-4
t3291,Male,Nonsmoker,39,5,6.3e-4
t3291,Male,Nonsmoker,39,6,7.4e-4
t3291,Male,Nonsmoker,39,7,8.3e-4
t3291,Male,Nonsmoker,39,8,0.00093000000000000005
t3291,Male,Nonsmoker,39,9,0.00104
t3291,Male,Nonsmoker,39,10,0.00119
t3291,Male,Nonsmoker,39,11,0.00133
t3291,Male,Nonsmoker,39,12,0.00148
t3291,Male,Nonsmoker,39,13,0.00165
t3291,Male,Nonsmoker,39,14,0.00184
t3291,Male,Nonsmoker,39,15,0.00203
t3291,Male,Nonsmoker,39,16,0.00226
t3291,Male,Nonsmoker,39,17,0.00254
t3291,Male,Nonsmoker,39,18,0.0029
t3291,Male,Nonsmoker,39,19,0.00335
t3291,Male,Nonsmoker,39,20,0.00385
t3291,Male,Nonsmoker,39,21,0.00433
t3291,Male,Nonsmoker,39,22,0.00474
t3291,Male,Nonsmoker,39,23,0.0052
t3291,Male,Nonsmoker,39,24,0.0057
t3291,Male,Nonsmoker,39,25,0.00641
t3291,Male,Nonsmoker,40,1,2e-4
t3291,Male,Nonsmoker,40,2,3.6e-4
t3291,Male,Nonsmoker,40,3,5.1e-4
t3291,Male,Nonsmoker,40,4,6e-4
t3291,Male,Nonsmoker,40,5,7e-4
