table,gender,tobacco,issue_age,duration,q_sel
t3273,Male,Unismoke,14,1,1.9e-4
t3273,Male,Unismoke,14,2,2.9e-4
t3273,Male,Unismoke,14,3,4.2e-4
t3273,Male,Unismoke,14,4,5.7e-4
t3273,Male,Unismoke,14,5,7.2e-4
t3273,Male,Unismoke,14,6,8.2e-4
t3273,Male,Unismoke,14,7,8.6e-4
t3273,Male,Unismoke,14,8,8.8e-4
t3273,Male,Unismoke,14,9,8.8e-4
t3273,Male,Unismoke,14,10,8.8e-4
t3273,Male,Unismoke,14,11,8.8e-4
t3273,Male,Unismoke,14,12,8.8e-4
t3273,Male,Unismoke,14,13,8.8e-4
t3273,Male,Unismoke,14,14,8.7e-4
t3273,Male,Unismoke,14,15,8.5e-4
t3273,Male,Unismoke,14,16,8.4e-4
t3273,Male,Unismoke,14,17,8.4e-4
t3273,Male,Unismoke,14,18,8.8e-4
t3273,Male,Unismoke,14,19,0.00093000000000000005
t3273,Male,Unismoke,14,20,0.00101
t3273,Male,Unismoke,14,21,0.00109
t3273,Male,Unismoke,14,22,0.00117
t3273,Male,Unismoke,14,23,0.00128
t3273,Male,Unismoke,14,24,0.00139
t3273,Male,Unismoke,14,25,0.00149
t3273,Male,Unismoke,15,1,2.9e-4
t3273,Male,Unismoke,15,2,4.2e-4
t3273,Male,Unismoke,15,3,5.7e-4
t3273,Male,Unismoke,15,4,7.2e-4
t3273,Male,Unismoke,15,5,8.2e-4
t3273,Male,Unismoke,15,6,8.6e-4
t3273,Male,Unismoke,15,7,8.8e-4
t3273,Male,Unismoke,15,8,8.8e-4
t3273,Male,Unismoke,15,9,8.8e-4
t3273,Male,Unismoke,15,10,8.8e-4
t3273,Male,Unismoke,15,11,8.8e-4
t3273,Male,Unismoke,15,12,8.8e-4
t3273,Male,Unismoke,15,13,8.7e-4
t3273,Male,Unismoke,15,14,8.5e-4
t3273,Male,Unismoke,15,15,8.4e-4
t3273,Male,Unismoke,15,16,8.4e-4
t3273,Male,Unismoke,15,17,8.8e-4
t3273,Male,Unismoke,15,18,0.00093000000000000005
t3273,Male,Unismoke,15,19,0.00101
t3273,Male,Unismoke,15,20,0.00109
t3273,Male,Unismoke,15,21,0.00117
t3273,Male,Unismoke,15,22,0.00128
t3273,Male,Unismoke,15,23,0.00139
t3273,Male,Unismoke,15,24,0.00149
t3273,Male,Unismoke,15,25,0.00161
t3273,Male,Unismoke,16,1,4.2e-4
t3273,Male,Unismoke,16,2,5.7e-4
t3273,Male,Unismoke,16,3,7.2e-4
t3273,Male,Unismoke,16,4,8.2e-4
t3273,Male,Unismoke,16,5,8.6e-4
t3273,Male,Unismoke,16,6,8.8e-4
t3273,Male,Unismoke,16,7,8.8e-4
t3273,Male,Unismoke,16,8,8.8e-4
t3273,Male,Unismoke,16,9,8.8e-4
t3273,Male,Unismoke,16,10,8.8e-4
t3273,Male,Unismoke,16,11,8.8e-4
t3273,Male,Unismoke,16,12,8.7e-4
t3273,Male,Unismoke,16,13,8.5e-4
t3273,Male,Unismoke,16,14,8.4e-4
t3273,Male,Unismoke,16,15,8.4e-4
t3273,Male,Unismoke,16,16,8.8e-4
t3273,Male,Unismoke,16,17,0.00093000000000000005
t3273,Male,Unismoke,16,18,0.00101
t3273,Male,Unismoke,16,19,0.00109
t3273,Male,Unismoke,16,20,0.00117
t3273,Male,Unismoke,16,21,0.00128
t3273,Male,Unismoke,16,22,0.00139
t3273,Male,Unismoke,16,23,0.00149
t3273,Male,Unismoke,16,24,0.00161
t3273,Male,Unismoke,16,25,0.00174
t3273,Male,Unismoke,17,1,5.7e-4
t3273,Male,Unismoke,17,2,7.2e-4
t3273,Male,Unismoke,17,3,8.2e-4
t3273,Male,Unismoke,17,4,8.6e-4
t3273,Male,Unismoke,17,5,8.8e-4
