table,gender,tobacco,issue_age,duration,q_sel
t3275,Male,Unismoke,11,2,1.2e-4
t3275,Male,Unismoke,11,3,1.6e-4
t3275,Male,Unismoke,11,4,2.4e-4
t3275,Male,Unismoke,11,5,3.5e-4
t3275,Male,Unismoke,11,6,4.9e-4
t3275,Male,Unismoke,11,7,6.5e-4
t3275,Male,Unismoke,11,8,7.7e-4
t3275,Male,Unismoke,11,9,8.4e-4
t3275,Male,Unismoke,11,10,8.7e-4
t3275,Male,Unismoke,11,11,8.8e-4
t3275,Male,Unismoke,11,12,8.8e-4
t3275,Male,Unismoke,11,13,8.8e-4
t3275,Male,Unismoke,11,14,8.8e-4
t3275,Male,Unismoke,11,15,8.8e-4
t3275,Male,Unismoke,11,16,8.7e-4
t3275,Male,Unismoke,11,17,8.6e-4
t3275,Male,Unismoke,11,18,8.4e-4
t3275,Male,Unismoke,11,19,8.4e-4
t3275,Male,Unismoke,11,20,8.6e-4
t3275,Male,Unismoke,11,21,9e-4
t3275,Male,Unismoke,11,22,9.7e-4
t3275,Male,Unismoke,11,23,0.00105
t3275,Male,Unismoke,11,24,0.00113
t3275,Male,Unismoke,11,25,0.00123
t3275,Male,Unismoke,12,1,1.2e-4
t3275,Male,Unismoke,12,2,1.6e-4
t3275,Male,Unismoke,12,3,2.4e-4
t3275,Male,Unismoke,12,4,3.5e-4
t3275,Male,Unismoke,12,5,4.9e-4
t3275,Male,Unismoke,12,6,6.5e-4
t3275,Male,Unismoke,12,7,7.7e-4
t3275,Male,Unismoke,12,8,8.4e-4
t3275,Male,Unismoke,12,9,8.7e-4
t3275,Male,Unismoke,12,10,8.8e-4
t3275,Male,Unismoke,12,11,8.8e-4
t3275,Male,Unismoke,12,12,8.8e-4
t3275,Male,Unismoke,12,13,8.8e-4
t3275,Male,Unismoke,12,14,8.8e-4
t3275,Male,Unismoke,12,15,8.7e-4
t3275,Male,Unismoke,12,16,8.6e-4
t3275,Male,Unismoke,12,17,8.4e-4
t3275,Male,Unismoke,12,18,8.4e-4
t3275,Male,Unismoke,12,19,8.6e-4
t3275,Male,Unismoke,12,20,9e-4
t3275,Male,Unismoke,12,21,9.7e-4
t3275,Male,Unismoke,12,22,0.00105
t3275,Male,Unismoke,12,23,0.00113
t3275,Male,Unismoke,12,24,0.00123
t3275,Male,Unismoke,12,25,0.00133
t3275,Male,Unismoke,13,1,1.6e-4
t3275,Male,Unismoke,13,2,2.4e-4
t3275,Male,Unismoke,13,3,3.5e-4
t3275,Male,Unismoke,13,4,4.9e-4
t3275,Male,Unismoke,13,5,6.5e-4
t3275,Male,Unismoke,13,6,7.7e-4
t3275,Male,Unismoke,13,7,8.4e-4
t3275,Male,Unismoke,13,8,8.7e-4
t3275,Male,Unismoke,13,9,8.8e-4
t3275,Male,Unismoke,13,10,8.8e-4
t3275,Male,Unismoke,13,11,8.8e-4
t3275,Male,Unismoke,13,12,8.8e-4
t3275,Male,Unismoke,13,13,8.8e-4
t3275,Male,Unismoke,13,14,8.7e-4
t3275,Male,Unismoke,13,15,8.6e-4
