table,gender_blend,issue_age,duration,q_sel
t3282,20% Male,17,19,9e-4
t3282,20% Male,17,20,0.001
t3282,20% Male,17,21,0.0011
t3282,20% Male,17,22,0.0012
t3282,20% Male,17,23,0.00128
t3282,20% Male,17,24,0.00136
t3282,20% Male,17,25,0.00143
t3282,20% Male,18,1,4.2e-4
t3282,20% Male,18,2,4.3e-4
t3282,20% Male,18,3,4.3e-4
t3282,20% Male,18,4,4.3e-4
t3282,20% Male,18,5,4.4e-4
t3282,20% Male,18,6,4.5e-4
t3282,20% Male,18,7,4.6e-4
t3282,20% Male,18,8,4.6e-4
t3282,20% Male,18,9,4.5e-4
t3282,20% Male,18,10,4.6e-4
t3282,20% Male,18,11,4.7e-4
t3282,20% Male,18,12,4.8e-4
t3282,20% Male,18,13,5.1e-4
t3282,20% Male,18,14,5.3e-4
t3282,20% Male,18,15,5.8e-4
t3282,20% Male,18,16,6.6e-4
t3282,20% Male,18,17,7.5e-4
t3282,20% Male,18,18,8.5e-4
t3282,20% Male,18,19,9.5e-4
t3282,20% Male,18,20,0.00105
t3282,20% Male,18,21,0.00115
t3282,20% Male,18,22,0.00124
t3282,20% Male,18,23,0.00132
t3282,20% Male,18,24,0.0014
t3282,20% Male,18,25,0.00146
t3282,20% Male,19,1,4e-4
t3282,20% Male,19,2,3.9e-4
t3282,20% Male,19,3,4e-4
t3282,20% Male,19,4,4e-4
t3282,20% Male,19,5,4.2e-4
t3282,20% Male,19,6,4.3e-4
t3282,20% Male,19,7,4.3e-4
t3282,20% Male,19,8,4.2e-4
t3282,20% Male,19,9,4.2e-4
t3282,20% Male,19,10,4.4e-4
t3282,20% Male,19,11,4.7e-4
t3282,20% Male,19,12,4.8e-4
t3282,20% Male,19,13,5e-4
t3282,20% Male,19,14,5.4e-4
t3282,20% Male,19,15,6.2e-4
t3282,20% Male,19,16,7.1e-4
t3282,20% Male,19,17,8.1e-4
t3282,20% Male,19,18,0.00093000000000000005
t3282,20% Male,19,19,0.00103
t3282,20% Male,19,20,0.00114
t3282,20% Male,19,21,0.00123
t3282,20% Male,19,22,0.00131
t3282,20% Male,19,23,0.00138
t3282,20% Male,19,24,0.00145
t3282,20% Male,19,25,0.00152
t3282,20% Male,20,1,3.4e-4
t3282,20% Male,20,2,3.6e-4
t3282,20% Male,20,3,3.7e-4
t3282,20% Male,20,4,3.8e-4
t3282,20% Male,20,5,3.9e-4
t3282,20% Male,20,6,3.9e-4
t3282,20% Male,20,7,3.9e-4
t3282,20% Male,20,8,4e-4
t3282,20% Male,20,9,4.1e-4
t3282,20% Male,20,10,4.4e-4
t3282,20% Male,20,11,4.7e-4
t3282,20% Male,20,12,4.9e-4
t3282,20% Male,20,13,5.1e-4
t3282,20% Male,20,14,5.8e-4
t3282,20% Male,20,15,6.6e-4
t3282,20% Male,20,16,7.6e-4
t3282,20% Male,20,17,8.7e-4
t3282,20% Male,20,18,0.001
t3282,20% Male,20,19,0.00111
t3282,20% Male,20,20,0.00121
t3282,20% Male,20,21,0.0013
t3282,20% Male,20,22,0.00137
t3282,20% Male,20,23,0.00143
t3282,20% Male,20,24,0.0015
t3282,20% Male,20,25,0.00157
t3282,20% Male,21,1,2.9e-4
t3282,20% Male,21,2,3.3e-4
t3282,20% Male,21,3,3.4e-4
t3282,20% Male,21,4,3.5e-4
t3282,20% Male,21,5,3.5e-4
t3282,20% Male,21,6,3.5e-4
t3282,20% Male,21,7,3.6e-4
t3282,20% Male,21,8,3.8e-4
t3282,20% Male,21,9,4.1e-4
t3282,20% Male,21,10,4.4e-4
t3282,20% Male,21,11,4.7e-4
t3282,20% Male,21,12,4.9e-4
t3282,20% Male,21,13,5.4e-4
t3282,20% Male,21,14,6.2e-4
t3282,20% Male,21,15,7.1e-4
t3282,20% Male,21,16,8.2e-4
t3282,20% Male,21,17,9.4e-4
t3282,20% Male,21,18,0.00105
t3282,20% Male,21,19,0.00117
t3282,20% Male,21,20,0.00127
t3282,20% Male,21,21,0.00135
t3282,20% Male,21,22,0.00141
t3282,20% Male,21,23,0.00148
t3282,20% Male,21,24,0.00155
t3282,20% Male,21,25,0.00164
t3282,20% Male,22,1,2.6e-4
t3282,20% Male,22,2,3e-4
t3282,20% Male,22,3,3.2e-4
t3282,20% Male,22,4,3.2e-4
t3282,20% Male,22,5,3.2e-4
t3282,20% Male,22,6,3.3e-4
t3282,20% Male,22,7,3.5e-4
t3282,20% Male,22,8,3.9e-4
t3282,20% Male,22,9,4.1e-4
t3282,20% Male,22,10,4.5e-4
t3282,20% Male,22,11,4.7e-4
t3282,20% Male,22,12,5.3e-4
t3282,20% Male,22,13,5.8e-4
t3282,20% Male,22,14,6.7e-4
t3282,20% Male,22,15,7.8e-4
t3282,20% Male,22,16,8.8e-4
t3282,20% Male,22,17,9.9e-4
t3282,20% Male,22,18,0.0011
t3282,20% Male,22,19,0.00122
t3282,20% Male,22,20,0.00133
t3282,20% Male,22,21,0.00139
t3282,20% Male,22,22,0.00146
t3282,20% Male,22,23,0.00152
t3282,20% Male,22,24,0.00162
t3282,20% Male,22,25,0.00174
t3282,20% Male,23,1,2.4e-4
t3282,20% Male,23,2,2.8e-4
t3282,20% Male,23,3,2.8e-4
t3282,20% Male,23,4,2.8e-4
t3282,20% Male,23,5,2.9e-4
t3282,20% Male,23,6,3.2e-4
t3282,20% Male,23,7,3.5e-4
t3282,20% Male,23,8,3.9e-4
t3282,20% Male,23,9,4.3e-4
t3282,20% Male,23,10,4.6e-4
t3282,20% Male,23,11,5.1e-4
t3282,20% Male,23,12,5.7e-4
t3282,20% Male,23,13,6.4e-4
t3282,20% Male,23,14,7.4e-4
t3282,20% Male,23,15,8.5e-4
t3282,20% Male,23,16,9.5e-4
t3282,20% Male,23,17,0.00104
t3282,20% Male,23,18,0.00115
t3282,20% Male,23,19,0.00127
t3282,20% Male,23,20,0.00137
t3282,20% Male,23,21,0.00144
t3282,20% Male,23,22,0.0015
t3282,20% Male,23,23,0.00158
t3282,20% Male,23,24,0.00171
