table,gender,issue_age,duration,q_sel
t3287,Male,20,6,7.8e-4
t3287,Male,20,7,7.7e-4
t3287,Male,20,8,7.5e-4
t3287,Male,20,9,7.1e-4
t3287,Male,20,10,7.1e-4
t3287,Male,20,11,7.1e-4
t3287,Male,20,12,7.2e-4
t3287,Male,20,13,7.6e-4
t3287,Male,20,14,8.3e-4
t3287,Male,20,15,9.1e-4
t3287,Male,20,16,9.8e-4
t3287,Male,20,17,0.00109
t3287,Male,20,18,0.00122
t3287,Male,20,19,0.0014
t3287,Male,20,20,0.00158
t3287,Male,20,21,0.00176
t3287,Male,20,22,0.00192
t3287,Male,20,23,0.00209
t3287,Male,20,24,0.00225
t3287,Male,20,25,0.0024
t3287,Male,21,1,6.2e-4
t3287,Male,21,2,7e-4
t3287,Male,21,3,6.7e-4
t3287,Male,21,4,6.6e-4
t3287,Male,21,5,6.7e-4
t3287,Male,21,6,6.8e-4
t3287,Male,21,7,6.8e-4
t3287,Male,21,8,6.6e-4
t3287,Male,21,9,6.4e-4
t3287,Male,21,10,6.6e-4
t3287,Male,21,11,6.8e-4
t3287,Male,21,12,7.3e-4
t3287,Male,21,13,7.8e-4
t3287,Male,21,14,8.5e-4
t3287,Male,21,15,0.00093000000000000005
t3287,Male,21,16,0.00101
t3287,Male,21,17,0.00112
t3287,Male,21,18,0.0013
t3287,Male,21,19,0.00148
t3287,Male,21,20,0.00167
t3287,Male,21,21,0.00184
t3287,Male,21,22,0.00199
t3287,Male,21,23,0.00214
t3287,Male,21,24,0.00229
t3287,Male,21,25,0.00243
t3287,Male,22,1,5.8e-4
t3287,Male,22,2,6.1e-4
t3287,Male,22,3,5.8e-4
t3287,Male,22,4,5.8e-4
t3287,Male,22,5,5.9e-4
t3287,Male,22,6,5.9e-4
t3287,Male,22,7,6e-4
t3287,Male,22,8,5.9e-4
t3287,Male,22,9,5.9e-4
t3287,Male,22,10,6.4e-4
t3287,Male,22,11,6.8e-4
t3287,Male,22,12,7.4e-4
t3287,Male,22,13,7.9e-4
t3287,Male,22,14,8.7e-4
t3287,Male,22,15,9.6e-4
t3287,Male,22,16,0.00104
t3287,Male,22,17,0.00121
t3287,Male,22,18,0.00138
t3287,Male,22,19,0.00157
t3287,Male,22,20,0.00176
t3287,Male,22,21,0.00191
t3287,Male,22,22,0.00204
t3287,Male,22,23,0.00216
t3287,Male,22,24,0.00231
t3287,Male,22,25,0.00249
t3287,Male,23,1,5.1e-4
t3287,Male,23,2,5.2e-4
t3287,Male,23,3,5e-4
t3287,Male,23,4,5.1e-4
t3287,Male,23,5,5.2e-4
t3287,Male,23,6,5.3e-4
t3287,Male,23,7,5.3e-4
t3287,Male,23,8,5.5e-4
t3287,Male,23,9,5.7e-4
t3287,Male,23,10,6.4e-4
t3287,Male,23,11,6.9e-4
t3287,Male,23,12,7.5e-4
t3287,Male,23,13,8.1e-4
t3287,Male,23,14,9.1e-4
t3287,Male,23,15,9.9e-4
t3287,Male,23,16,0.00114
t3287,Male,23,17,0.00128
t3287,Male,23,18,0.00146
t3287,Male,23,19,0.00166
t3287,Male,23,20,0.00182
t3287,Male,23,21,0.00195
t3287,Male,23,22,0.00205
t3287,Male,23,23,0.00216
t3287,Male,23,24,0.00234
t3287,Male,23,25,0.00254
t3287,Male,24,1,4.4e-4
t3287,Male,24,2,4.6e-4
t3287,Male,24,3,4.5e-4
t3287,Male,24,4,4.6e-4
t3287,Male,24,5,4.7e-4
t3287,Male,24,6,4.7e-4
t3287,Male,24,7,4.9e-4
t3287,Male,24,8,5.3e-4
t3287,Male,24,9,5.7e-4
t3287,Male,24,10,6.5e-4
t3287,Male,24,11,7.1e-4
t3287,Male,24,12,7.7e-4
t3287,Male,24,13,8.5e-4
t3287,Male,24,14,9.4e-4
t3287,Male,24,15,0.00109
t3287,Male,24,16,0.0012
t3287,Male,24,17,0.00136
t3287,Male,24,18,0.00155
t3287,Male,24,19,0.00172
t3287,Male,24,20,0.00185
t3287,Male,24,21,0.00196
t3287,Male,24,22,0.00207
t3287,Male,24,23,0.00217
t3287,Male,24,24,0.00236
t3287,Male,24,25,0.00259
t3287,Male,25,1,3.9e-4
t3287,Male,25,2,4.2e-4
t3287,Male,25,3,4e-4
t3287,Male,25,4,4.1e-4
t3287,Male,25,5,4.3e-4
t3287,Male,25,6,4.4e-4
t3287,Male,25,7,4.8e-4
t3287,Male,25,8,5.3e-4
t3287,Male,25,9,5.8e-4
t3287,Male,25,10,6.6e-4
t3287,Male,25,11,7.3e-4
t3287,Male,25,12,8.1e-4
t3287,Male,25,13,8.8e-4
t3287,Male,25,14,0.00103
t3287,Male,25,15,0.00115
t3287,Male,25,16,0.00128
t3287,Male,25,17,0.00146
t3287,Male,25,18,0.00164
t3287,Male,25,19,0.00178
t3287,Male,25,20,0.00188
t3287,Male,25,21,0.00198
t3287,Male,25,22,0.00208
t3287,Male,25,23,0.00226
t3287,Male,25,24,0.00247
t3287,Male,25,25,0.0027
t3287,Male,26,1,3.5e-4
t3287,Male,26,2,3.8e-4
t3287,Male,26,3,3.8e-4
t3287,Male,26,4,3.9e-4
t3287,Male,26,5,4.1e-4
t3287,Male,26,6,4.3e-4
t3287,Male,26,7,4.8e-4
t3287,Male,26,8,5.4e-4
t3287,Male,26,9,6e-4
t3287,Male,26,10,6.9e-4
t3287,Male,26,11,7.7e-4
t3287,Male,26,12,8.5e-4
t3287,Male,26,13,9.6e-4
t3287,Male,26,14,0.0011
t3287,Male,26,15,0.00123
t3287,Male,26,16,0.00137
t3287,Male,26,17,0.00156
t3287,Male,26,18,0.00171
t3287,Male,26,19,0.00182
t3287,Male,26,20,0.00189
t3287,Male,26,21,0.00201
t3287,Male,26,22,0.00217
t3287,Male,26,23,0.00237
t3287,Male,26,24,0.0026
t3287,Male,26,25,0.00284
t3287,Male,27,1,3.1e-4
t3287,Male,27,2,3.4e-4
t3287,Male,27,3,3.5e-4
t3287,Male,27,4,3.7e-4
t3287,Male,27,5,4e-4
t3287,Male,27,6,4.4e-4
t3287,Male,27,7,5e-4
t3287,Male,27,8,5.6e-4
t3287,Male,27,9,6.2e-4
t3287,Male,27,10,7.3e-4
t3287,Male,27,11,8.1e-4
t3287,Male,27,12,9e-4
t3287,Male,27,13,0.00103
t3287,Male,27,14,0.00118
t3287,Male,27,15,0.00132
t3287,Male,27,16,0.00146
t3287,Male,27,17,0.00163
t3287,Male,27,18,0.00176
t3287,Male,27,19,0.00184
t3287,Male,27,20,0.00195
t3287,Male,27,21,0.00208
t3287,Male,27,22,0.00227
t3287,Male,27,23,0.00249
t3287,Male,27,24,0.00273
t3287,Male,27,25,0.003
t3287,Male,28,1,2.7e-4
t3287,Male,28,2,3.1e-4
t3287,Male,28,3,3.4e-4
t3287,Male,28,4,3.8e-4
t3287,Male,28,5,4.2e-4
t3287,Male,28,6,4.6e-4
t3287,Male,28,7,5.2e-4
t3287,Male,28,8,5.9e-4
t3287,Male,28,9,6.5e-4
t3287,Male,28,10,7.7e-4
t3287,Male,28,11,8.7e-4
t3287,Male,28,12,9.8e-4
t3287,Male,28,13,0.00111
t3287,Male,28,14,0.00126
t3287,Male,28,15,0.00141
t3287,Male,28,16,0.00154
t3287,Male,28,17,0.00169
t3287,Male,28,18,0.00179
t3287,Male,28,19,0.00191
t3287,Male,28,20,0.00203
t3287,Male,28,21,0.00219
t3287,Male,28,22,0.00239
t3287,Male,28,23,0.00263
t3287,Male,28,24,0.00289
t3287,Male,28,25,0.00319
t3287,Male,29,1,2.5e-4
t3287,Male,29,2,3.1e-4
t3287,Male,29,3,3.5e-4
t3287,Male,29,4,4.1e-4
t3287,Male,29,5,4.6e-4
t3287,Male,29,6,5.1e-4
t3287,Male,29,7,5.6e-4
t3287,Male,29,8,6.3e-4
t3287,Male,29,9,7e-4
t3287,Male,29,10,8.4e-4
t3287,Male,29,11,9.5e-4
t3287,Male,29,12,0.00106
t3287,Male,29,13,0.0012
t3287,Male,29,14,0.00135
t3287,Male,29,15,0.00149
t3287,Male,29,16,0.00161
t3287,Male,29,17,0.00174
t3287,Male,29,18,0.00188
t3287,Male,29,19,0.00201
t3287,Male,29,20,0.00215
t3287,Male,29,21,0.00233
t3287,Male,29,22,0.00256
t3287,Male,29,23,0.00282
t3287,Male,29,24,0.0031
t3287,Male,29,25,0.00342
t3287,Male,30,1,2.5e-4
t3287,Male,30,2,2.9e-4
t3287,Male,30,3,3.7e-4
t3287,Male,30,4,4.3e-4
t3287,Male,30,5,4.8e-4
t3287,Male,30,6,5.3e-4
t3287,Male,30,7,5.9e-4
t3287,Male,30,8,6.6e-4
t3287,Male,30,9,7.5e-4
t3287,Male,30,10,8.9e-4
t3287,Male,30,11,0.00101
t3287,Male,30,12,0.00111
t3287,Male,30,13,0.00124
t3287,Male,30,14,0.0014
t3287,Male,30,15,0.00152
t3287,Male,30,16,0.00167
t3287,Male,30,17,0.00185
t3287,Male,30,18,0.00199
t3287,Male,30,19,0.00214
t3287,Male,30,20,0.0023
t3287,Male,30,21,0.00252
t3287,Male,30,22,0.00277
t3287,Male,30,23,0.00305
t3287,Male,30,24,0.00336
t3287,Male,30,25,0.00371
t3287,Male,31,1,2.2e-4
t3287,Male,31,2,2.9e-4
t3287,Male,31,3,3.9e-4
t3287,Male,31,4,4.6e-4
t3287,Male,31,5,5.1e-4
t3287,Male,31,6,5.6e-4
t3287,Male,31,7,6.1e-4
t3287,Male,31,8,7e-4
t3287,Male,31,9,8.2e-4
t3287,Male,31,10,9.6e-4
t3287,Male,31,11,0.00107
t3287,Male,31,12,0.00117
t3287,Male,31,13,0.00131
t3287,Male,31,14,0.00145
t3287,Male,31,15,0.00158
t3287,Male,31,16,0.00178
t3287,Male,31,17,0.00197
t3287,Male,31,18,0.00213
t3287,Male,31,19,0.0023
t3287,Male,31,20,0.0025
t3287,Male,31,21,0.00274
t3287,Male,31,22,0.00302
t3287,Male,31,23,0.00333
t3287,Male,31,24,0.00368
t3287,Male,31,25,0.00405
t3287,Male,32,1,2.3e-4
t3287,Male,32,2,3e-4
t3287,Male,32,3,4.1e-4
t3287,Male,32,4,4.9e-4
t3287,Male,32,5,5.4e-4
t3287,Male,32,6,5.9e-4
t3287,Male,32,7,6.6e-4
t3287,Male,32,8,7.6e-4
t3287,Male,32,9,9.1e-4
t3287,Male,32,10,0.00106
t3287,Male,32,11,0.00116
t3287,Male,32,12,0.00125
t3287,Male,32,13,0.00139
t3287,Male,32,14,0.00152
t3287,Male,32,15,0.0017
t3287,Male,32,16,0.00191
t3287,Male,32,17,0.00212
t3287,Male,32,18,0.0023
t3287,Male,32,19,0.0025
t3287,Male,32,20,0.00272
t3287,Male,32,21,0.003
