table,gender,issue_age,duration,q_sel
t3363,Male,12,6,6.3e-4
t3363,Male,12,7,7.5e-4
t3363,Male,12,8,8.2e-4
t3363,Male,12,9,8.5e-4
t3363,Male,12,10,8.6e-4
t3363,Male,12,11,8.6e-4
t3363,Male,12,12,8.6e-4
t3363,Male,12,13,8.6e-4
t3363,Male,12,14,8.6e-4
t3363,Male,12,15,8.5e-4
t3363,Male,12,16,8.4e-4
t3363,Male,12,17,8.3e-4
t3363,Male,12,18,8.2e-4
t3363,Male,12,19,8.4e-4
t3363,Male,12,20,8.8e-4
t3363,Male,12,21,9.5e-4
t3363,Male,12,22,0.00102
t3363,Male,12,23,0.0011
t3363,Male,12,24,0.0012
t3363,Male,12,25,0.0013
t3363,Male,13,1,1.6e-4
t3363,Male,13,2,2.3e-4
t3363,Male,13,3,3.4e-4
t3363,Male,13,4,4.8e-4
t3363,Male,13,5,6.3e-4
t3363,Male,13,6,7.5e-4
t3363,Male,13,7,8.2e-4
t3363,Male,13,8,8.5e-4
t3363,Male,13,9,8.6e-4
t3363,Male,13,10,8.6e-4
t3363,Male,13,11,8.6e-4
t3363,Male,13,12,8.6e-4
t3363,Male,13,13,8.6e-4
t3363,Male,13,14,8.5e-4
t3363,Male,13,15,8.4e-4
t3363,Male,13,16,8.3e-4
t3363,Male,13,17,8.2e-4
t3363,Male,13,18,8.4e-4
t3363,Male,13,19,8.8e-4
t3363,Male,13,20,9.5e-4
t3363,Male,13,21,0.00102
t3363,Male,13,22,0.0011
t3363,Male,13,23,0.0012
t3363,Male,13,24,0.0013
t3363,Male,13,25,0.0014
t3363,Male,14,1,2.3e-4
t3363,Male,14,2,3.4e-4
t3363,Male,14,3,4.8e-4
t3363,Male,14,4,6.3e-4
t3363,Male,14,5,7.5e-4
t3363,Male,14,6,8.2e-4
t3363,Male,14,7,8.5e-4
t3363,Male,14,8,8.6e-4
t3363,Male,14,9,8.6e-4
t3363,Male,14,10,8.6e-4
t3363,Male,14,11,8.6e-4
t3363,Male,14,12,8.6e-4
t3363,Male,14,13,8.5e-4
t3363,Male,14,14,8.4e-4
t3363,Male,14,15,8.3e-4
t3363,Male,14,16,8.2e-4
t3363,Male,14,17,8.4e-4
t3363,Male,14,18,8.8e-4
t3363,Male,14,19,9.5e-4
t3363,Male,14,20,0.00102
t3363,Male,14,21,0.0011
t3363,Male,14,22,0.0012
t3363,Male,14,23,0.0013
t3363,Male,14,24,0.0014
t3363,Male,14,25,0.00151
t3363,Male,15,1,3.4e-4
t3363,Male,15,2,4.8e-4
t3363,Male,15,3,6.3e-4
t3363,Male,15,4,7.5e-4
t3363,Male,15,5,8.2e-4
t3363,Male,15,6,8.5e-4
t3363,Male,15,7,8.6e-4
t3363,Male,15,8,8.6e-4
t3363,Male,15,9,8.6e-4
t3363,Male,15,10,8.6e-4
t3363,Male,15,11,8.6e-4
t3363,Male,15,12,8.5e-4
t3363,Male,15,13,8.4e-4
t3363,Male,15,14,8.3e-4
t3363,Male,15,15,8.2e-4
t3363,Male,15,16,8.4e-4
t3363,Male,15,17,8.8e-4
t3363,Male,15,18,9.5e-4
t3363,Male,15,19,0.00102
t3363,Male,15,20,0.0011
t3363,Male,15,21,0.0012
t3363,Male,15,22,0.0013
t3363,Male,15,23,0.0014
t3363,Male,15,24,0.00151
t3363,Male,15,25,0.00163
t3363,Male,16,1,4.8e-4
t3363,Male,16,2,6.3e-4
t3363,Male,16,3,7.5e-4
t3363,Male,16,4,8.2e-4
t3363,Male,16,5,8.5e-4
t3363,Male,16,6,8.6e-4
t3363,Male,16,7,8.6e-4
t3363,Male,16,8,8.6e-4
t3363,Male,16,9,8.6e-4
t3363,Male,16,10,8.6e-4
t3363,Male,16,11,8.5e-4
t3363,Male,16,12,8.4e-4
t3363,Male,16,13,8.3e-4
t3363,Male,16,14,8.2e-4
t3363,Male,16,15,8.4e-4
t3363,Male,16,16,8.8e-4
t3363,Male,16,17,9.5e-4
t3363,Male,16,18,0.00102
t3363,Male,16,19,0.0011
t3363,Male,16,20,0.0012
