table,gender_blend,tobacco,issue_age,duration,q_sel
t3319,20% Male,Nonsmoker,27,3,1.9e-4
t3319,20% Male,Nonsmoker,27,4,2.1e-4
t3319,20% Male,Nonsmoker,27,5,2.3e-4
t3319,20% Male,Nonsmoker,27,6,2.5e-4
t3319,20% Male,Nonsmoker,27,7,3e-4
t3319,20% Male,Nonsmoker,27,8,3.5e-4
t3319,20% Male,Nonsmoker,27,9,3.9e-4
t3319,20% Male,Nonsmoker,27,10,4.5e-4
t3319,20% Male,Nonsmoker,27,11,5.2e-4
t3319,20% Male,Nonsmoker,27,12,5.9e-4
t3319,20% Male,Nonsmoker,27,13,6.6e-4
t3319,20% Male,Nonsmoker,27,14,7.4e-4
t3319,20% Male,Nonsmoker,27,15,7.9e-4
t3319,20% Male,Nonsmoker,27,16,8.3e-4
t3319,20% Male,Nonsmoker,27,17,9e-4
t3319,20% Male,Nonsmoker,27,18,9.8e-4
t3319,20% Male,Nonsmoker,27,19,0.00106
t3319,20% Male,Nonsmoker,27,20,0.00113
t3319,20% Male,Nonsmoker,27,21,0.00121
t3319,20% Male,Nonsmoker,27,22,0.0013
t3319,20% Male,Nonsmoker,27,23,0.0014
t3319,20% Male,Nonsmoker,27,24,0.00153
t3319,20% Male,Nonsmoker,27,25,0.00168
t3319,20% Male,Nonsmoker,28,1,1.2e-4
t3319,20% Male,Nonsmoker,28,2,1.6e-4
t3319,20% Male,Nonsmoker,28,3,1.9e-4
t3319,20% Male,Nonsmoker,28,4,2.1e-4
t3319,20% Male,Nonsmoker,28,5,2.3e-4
t3319,20% Male,Nonsmoker,28,6,2.7e-4
t3319,20% Male,Nonsmoker,28,7,3.1e-4
t3319,20% Male,Nonsmoker,28,8,3.7e-4
t3319,20% Male,Nonsmoker,28,9,4.2e-4
t3319,20% Male,Nonsmoker,28,10,5e-4
t3319,20% Male,Nonsmoker,28,11,5.7e-4
t3319,20% Male,Nonsmoker,28,12,6.4e-4
t3319,20% Male,Nonsmoker,28,13,7.2e-4
t3319,20% Male,Nonsmoker,28,14,7.8e-4
t3319,20% Male,Nonsmoker,28,15,8.3e-4
t3319,20% Male,Nonsmoker,28,16,8.7e-4
t3319,20% Male,Nonsmoker,28,17,9.4e-4
t3319,20% Male,Nonsmoker,28,18,0.00102
t3319,20% Male,Nonsmoker,28,19,0.0011
t3319,20% Male,Nonsmoker,28,20,0.00119
t3319,20% Male,Nonsmoker,28,21,0.00129
t3319,20% Male,Nonsmoker,28,22,0.00139
t3319,20% Male,Nonsmoker,28,23,0.00152
t3319,20% Male,Nonsmoker,28,24,0.00167
t3319,20% Male,Nonsmoker,28,25,0.0018600000000000001
t3319,20% Male,Nonsmoker,29,1,1.1e-4
t3319,20% Male,Nonsmoker,29,2,1.7e-4
t3319,20% Male,Nonsmoker,29,3,1.9e-4
t3319,20% Male,Nonsmoker,29,4,2.1e-4
t3319,20% Male,Nonsmoker,29,5,2.4e-4
t3319,20% Male,Nonsmoker,29,6,2.8e-4
t3319,20% Male,Nonsmoker,29,7,3.4e-4
t3319,20% Male,Nonsmoker,29,8,4e-4
t3319,20% Male,Nonsmoker,29,9,4.6e-4
t3319,20% Male,Nonsmoker,29,10,5.4e-4
t3319,20% Male,Nonsmoker,29,11,6.1e-4
t3319,20% Male,Nonsmoker,29,12,6.9e-4
t3319,20% Male,Nonsmoker,29,13,7.6e-4
t3319,20% Male,Nonsmoker,29,14,8.1e-4
t3319,20% Male,Nonsmoker,29,15,8.6e-4
t3319,20% Male,Nonsmoker,29,16,9.1e-4
t3319,20% Male,Nonsmoker,29,17,9.8e-4
t3319,20% Male,Nonsmoker,29,18,0.00107
t3319,20% Male,Nonsmoker,29,19,0.00117
t3319,20% Male,Nonsmoker,29,20,0.00127
t3319,20% Male,Nonsmoker,29,21,0.00138
t3319,20% Male,Nonsmoker,29,22,0.0015
t3319,20% Male,Nonsmoker,29,23,0.00166
t3319,20% Male,Nonsmoker,29,24,0.00185
t3319,20% Male,Nonsmoker,29,25,0.00208
t3319,20% Male,Nonsmoker,30,1,1.1e-4
t3319,20% Male,Nonsmoker,30,2,1.6e-4
t3319,20% Male,Nonsmoker,30,3,2e-4
t3319,20% Male,Nonsmoker,30,4,2.2e-4
t3319,20% Male,Nonsmoker,30,5,2.5e-4
t3319,20% Male,Nonsmoker,30,6,3e-4
t3319,20% Male,Nonsmoker,30,7,3.6e-4
t3319,20% Male,Nonsmoker,30,8,4.3e-4
